faiss_id,title,sentences
110,Ash,Ash led Pilio to their targets chambers discovering Dom in civilian clothes casually sharing a glass of wine with a middleaged mustachioed man his eyes both sad and kind.
111,Ash,The gem between Doms eyes was removed signifying that he had betrayed the Scoria.
112,Ash,The man gladly called Dom and Pilio his sons before coming to Doms defense and brandishing a sidearm which was quickly disarmed by Ashs Blade Storm.
113,Ash,Urged by Dom a confused Pilio questioned Ash who responded by sinking his blade into Pilios gem.
114,Ash,The gem was suppressing the memories of Dom and Pilio DeNas who were stolen by the Scoria.
115,Ash,The mustachioed man Lio DeNas was stealing back his sons.
116,Ash,Ash had saved the boy from his turmoil and allowed the DeNas family to escape from Mars forever.
117,Ash,It is unknown why Ash went against the schools doctrine.
118,Ash,However it is known that not even the Scorias senior members were spared from their idol during The Collapse.
119,Ash,Ash was originally named Smoke and before that simply Ninja.
120,Ash,He is still referred to as Ninja internally in the game files.
121,Ash,As seen from concept art Ash was initially slated to be a female Warframe.
122,Ash,Ash was the first Warframe that had innate physical weapons associated with his frame in this case the hidden blades he uses in his Blade Storm ability.
123,Ash,The second frame with this innate physical weapon was Mesa and her Regulator pistols she uses in her Peacemaker ability.
124,Ash,Ash has smoke constantly venting from his left arm.
125,Ash,Check the current Prime Resurgence rotation to see if Varzia offers relics for this item.
126,Ash,Vaulted Void Relics already contained in player inventories are not affected and can still be either opened or traded between players.
127,Ash,Featuring altered mod polarities for greater customization.
128,Ash,Passive Bleed effects inflicted on enemies do increased damage and last longer.
129,Ash,Abilities st Ability Shuriken nd Ability Smoke Screen rd Ability Teleport th Ability Blade Storm General Information Sex Male Mastery Rank Max Rank Health at Rank Shields at Rank Armor Energy at Rank Starting Energy Sprint Speed .
130,Ash,Themes Assassin Ninja Progenitor Element Radiation Tactical Ability Smoke Screen Sell Price Official Drop Tables httpswww.warframe.comdroptables CODEX Distraction and subterfuge become lethal weapons with Ash Prime.
131,Ash,Featuring altered mod polarities for greater customization.
132,Ash,Release Date July th Ash Prime is the Primed variant of Ash possessing an even higher level of survivability in the field.
133,Ash,Ash Prime has a higher shield capacity armor and sprint speed as well as an additional polarity.
134,Ash,Ash Prime was released alongside Vectis Prime and Carrier Prime.
135,Ash,Acquisition Lith Meso Neo and Axi refer to Void Relics V Denotes Vaulted Void Relics B Denotes Baro KiTeer Exclusive Void Relic Ash Primes Relic Drops Chassis Blueprint Blueprint Systems Blueprint Neuroptics Blueprint Axi B Common V Axi K Common V Lith V Common V Meso V Common V Neo N Common V Axi I Uncommon V Lith S Uncommon V Lith V Uncommon V Meso C Uncommon V Meso S Uncommon V Axi A Rare V Axi N Rare V Neo A Rare V Neo N Uncommon V Axi N Uncommon V Meso N Uncommon V Meso P Uncommon V Meso V Uncommon V Neo A Uncommon V Neo N Uncommon V Neo V Uncommon V Vaultings On May th it was announced that Ash Prime would enter the Prime Vault and be retired from the reward tables on May th .
136,Ash,Any preexisting components or fullybuilt frames will remain as is.
137,Ash,Ash Prime resurfaced along with Vauban Prime Vectis Prime Carrier Prime Akstiletto Prime and Fragor Prime from November th to February th .
138,Ash,Ash Prime was available from Prime Resurgence which ran from November to January .
139,Ash,Higher Armor vs.
140,Ash,Higher Sprint Speed . vs. .
141,Ash,Different Polarities vs.
142,Ash,As with any other Prime Warframe moving close to the location of an Orokin Void Death Orb will restore a pulse of Energy to nearby allies even if that Death Orb is inactive destroyed or nonpresent.
143,Ash,This effect can only occur once per orb.
144,Ash,The ponytail on the Ash Prime helmet is somewhat reminiscent of the ponytail in Ashs original concept art.
145,Ash,This ponytail was originally intended to be included in his final design however cloth physics at the time did not permit it.
146,Ash,In the Codex Ash Primes arm blades are mounted underneath the wrist ingame however the blades are positioned above his wrists much like the normal Ash.
147,Ash,Ash Primes ability features are energy ribbons that emerge from Ash Prime when he appears out of Smoke Screen and when he reaches his destination from Teleport.
148,Ash,Ash Prime has Orokin writing on his torso that says Tenno Model N Serial H.
149,Ash,Ash Primes Arsenal image shows him holding the Vectis Prime as a lefty.
150,Ash,Although this may be unintentional it could hint to Ash Prime being ambidextrous hence why he is equally efficient with both arm blades.
151,Ash,A fully built Ash Prime was given for watching TennoCon on WARFRAMEs Twitch with a Twitchlinked account for consecutive minutes or were in attendance to TennoCon on July th .
152,Ash,Due to server issues that prevented players from watching the livestream DE gave away a free Ash Prime to anybody with a Twitchlinked account who logged into WARFRAME between July rd and July th .
153,Ash,Media Ash Prime in Codex.One of Ash Primes early helmet designs.
154,Ash,WARFRAME Ash RevisitWARFRAME Ash Prime Nightcrawler Loadout ft.
155,Ash,Edit Tab Passive Slash procs inflicted by Ashs weapons and abilities deal more damage and last longer.
156,Ash,Bonus is also independent of faction damage bonuses stacking multiplicatively with them.
157,Ash,For example when using Ash a weapon that deals damage with Bane of Grineer will have a Slash proc that deals . . . . . damage per tick.
158,Ash,Bleed duration bonus stacks additively with status duration mods such as Lingering Torment.
159,Ash,Abilities View Maximization This calculator feature is sunsetted on the wiki.
160,Ash,It may not see further updates but will be present on articles for the time being since some people still find use for them.
161,Ash,See User blogCephalon ScientiaSunsetting of Maximization Calculators for more details.
162,Ash,Input table not loaded.
163,Ash,Javascript not loaded Result table not loaded.
164,Ash,Javascript not loaded This section is transcluded from Shuriken .
165,Ash,Shuriken Launches a spinning blade of pain dealing high damage and impaling enemies to walls.
166,Ash,Introduced in Vanilla Strength Slash damage on hit DurationNA RangeNA Misc number of shurikens m autotarget radius m targeting range homing angle Slash status on hit Subsumable to Helminth InfoAugmentTips TricksInfo Ash expends energy to throw shuriken to strike enemies standing within a meter radius around him or home in on enemies within meters and a angle of the aiming reticle.
167,Ash,Each Shuriken inflicts Slash damage with a guaranteed Status Effect on hit.
168,Ash,The Bleed DoT inflicts . of the initial damage per tick for a total of ticks over seconds due to Ashs passive.
169,Ash,The Bleed damage bypasses armor.
170,Ash,Should Shuriken hit an enemys head the Bleed DoT will inflict . of the initial damage per tick for the same duration.
171,Ash,Shurikens do not require direct line of sight to home in on enemies.
172,Ash,Shurikens can bypass obstacles in the environment to strike targets behind walls and objects.
173,Ash,Shurikens will travel toward the aiming reticle on a slight angle if no enemies were standing close to Ash or within the targeting range and homing angle.
174,Ash,Enemies will still receive damage and proc if hit by these Shurikens.
175,Ash,Shuriken will not disrupt Shades cloak.
176,Ash,Shuriken is a onehanded action.
177,Ash,As such it can be used while performing various maneuvers and actions without interruption.
178,Ash,Delay of about . seconds between uses.
179,Ash,Subsuming Ash to the Helminth will offer Shuriken and its augments to be used by other Warframes.Augment Main article Seeking Shuriken Seeking Shuriken is an Ash Warframe Augment Mod that allows Shuriken to temporarily reduce the armor of their targets.
180,Ash,Rank Armor Reduction Duration Cost s s s s Tips Tricks Can be cast in rapid succession and since Slash procs ignore armor and can be stacked this can bypass the high scaled armor of Grineer units.
181,Ash,Shuriken can be used to seek out nearby hidden enemies due to its homing feature.
182,Ash,However Shuriken will often try to seek enemies that youve run past making it miss both the enemy you ran past and the target you were trying to hit.
183,Ash,Using the Seeking Shuriken augment Ash can strip armor of any enemy entirely with only Ability Strength.
184,Ash,It works great on bosses especially in Sorties when they are high level.
185,Ash,This section is transcluded from Smoke Screen .
186,Ash,Smoke Screen Drops a smoke bomb that stuns enemies and obscures their vision rendering Ash invisible for a short time.
187,Ash,Introduced in Vanilla StrengthNA Duration s Range m Misc Stagger on hit InfoAugmentTips TricksInfo Ash expends energy to throw down a smoke bomb that briefly Staggers enemies within a radius of meters while Ash and his Companion turn transparent and rendering them Invisible to all enemies for seconds.
188,Ash,Ability Synergy Invisibility halves the energy cost of Blade Storm to energy per enemy.
189,Ash,Cannot be recast while active.Augment Main article Smoke Shadow Smoke Shadow is a Warframe Augment Mod for Ashs Smoke Screen that allows Ash to temporarily cloak nearby allies along with himself while also increasing everyones critical chance.
190,Ash,Smoke ShadowTips Tricks Smoke Screen does not prevent damage from Orokin Lasers or AoE damage such as poison clouds and explosions.
191,Ash,The abilitys short duration makes Smoke Screen only useful for quick flanking movements.
192,Ash,The low duration also necessitates using the ability with care and paying attention to the remaining duration when active.
193,Ash,Can be used when surrounded to stagger nearby enemies and escape.
194,Ash,This section is transcluded from Teleport .
195,Ash,Teleport Ash teleports towards the target bringing him into melee range and making enemies vulnerable to finishers.
196,Ash,Introduced in Vanilla StrengthNA DurationNA Range m Misc Stagger on teleportMelee finisher prompt energy discount on Blade Storm target InfoAugmentTips TricksInfo Ash expends energy to perform a somersault as he teleports to a target within meters on his aiming reticle.
197,Ash,If the target is an enemy it is staggered and opened to a melee finisher attack.
198,Ash,Eligible teleport targets include enemies allies hostages Cryopods Excavators and destructible objects.
199,Ash,If the enemy cannot be attacked with a melee finisher either due to positioning or the enemy type it will be susceptible to Stealth Damage Multipliers from melee attacks for the duration of the stagger.
200,Ash,As with Smoke Screen coming into physical contact with the enemy while attacking will temporarily remove the damage bonus.
201,Ash,Ability Synergy Teleport costs energy on a marked enemy target during Blade Storms Shadow Clones assault phase.
202,Ash,Ash will teleport to the targeted enemy and strike it and all remaining marked enemies in a cinematic cutscene sequence.
203,Ash,When an unmarked enemy is targeted instead Ash will attack it once before striking all remaining marked enemies.
204,Ash,Requires direct line of sight to a small part of the target to cast.
205,Ash,Note that using Teleport on enemies will alert them to your presence preventing you from receiving the Stealth Kill affinity bonus.
206,Ash,Wardens additionally lose the massive stealth attack bonus they receive from normal stealth attacks.Augment Main article Fatal Teleport Fatal Teleport is a Warframe Augment Mod for Ash that causes Teleport to immediately perform a melee finisher upon teleporting to the target with an additional damage multiplier.
207,Ash,Additionally if the finisher kills its target of Teleports energy cost is refunded.
208,Ash,Fatal TeleportTips Tricks Teleport can trigger Covert Lethality dealing significant damage.
209,Ash,Using Teleport on an unmarked enemy while Blade Storm is active will allow Ash to mark said enemy at no energy cost.
210,Ash,Teleport allows for rapid movement through a tileset.
211,Ash,The Tips for Teleport in Ashs preview screen show that it can be used to get to any of its listed targets as long as there is LineofSight but as of now that does not work.
212,Ash,It will simply say Target Obstructed or Invalid.
213,Ash,This section is transcluded from Blade Storm .
214,Ash,Join the fray using Teleport.
215,Ash,Introduced in Vanilla Strength True damage DurationNA Range m Misc number of hits per mark number of Shadow Clones Slash status per hit invisible mark discount energy discount for Teleport on marked enemy InfoAugmentTips TricksBugsInfo Ash toggles a state of intense focus as he searches for targets to assassinate.
216,Ash,During targeting mode enemies within meters from Ash that are seen near the aiming reticle become highlighted and tagged with a death mark above their head consuming energy per enemy.
217,Ash,Leaving this range while targeting will unmark enemies and refund the energy.
218,Ash,When or more enemies are marked reactivating the ability will create Shadow Clones that teleport to each marked enemy striking them with Finisher attacks that inflict True damage per hit with a guaranteed Slash status effect.
219,Ash,Damage is affected by Ability Strength Steel Charge Savage Silence Radiant Finish Arcane Fury Arcane Blade Charger Combo Counter multipliers and Viral status.
220,Ash,Blade Storm gains additional damage for each combo multiplier up to a .x damage multiplier at x combo or .x with Venka Prime equipped at x combo.
221,Ash,The Innodem additive stats from Evolution II Perk increase the attack speed by and from Evolution III Perk increase the finisher damage by Melee damage mods do increase damage including Finishing Touch and Covert Lethality Primed Pressure Point and Spoiled Strike.
222,Ash,Melee mods that affect the combo counter and attack speed will benefit blade storm.
223,Ash,Weapons that modify the combo meter also apply including the bonus initial combo count passives for Furax Wraith Synoid Heliocor Fragor Prime and Venka Primes increased combo cap.
224,Ash,Animation speed is affected by attack speed mods e.g.
225,Ash,Fury up to the Finisher cap of .
226,Ash,Buffs such as Speed Warcry and Arcane Strike will only buff Ashs Animation speed when he joins blade storm via Teleport and not the clones.
227,Ash,Animation speed is not affected by the base weapons attack speed Berserker Fury or casting speed mods e.g.
228,Ash,Natural Talent.
229,Ash,Arcane Arachne does not increase damage.
230,Ash,Kills from Blade Storm will not proc Arcane Reaper The Bleeds DoT inflicts . of the initial damage per tick for a total of ticks over seconds.
231,Ash,The Bleed damage bypasses armor.
232,Ash,Direct hit damage therefore accounts for only of Blade Storms total damage.
233,Ash,Total Direct hit Damage not Slashs Bleeds DoT is further multiplied by Excaliburs Radiant Finish and Banshees Savage Silence. eg. with strength Strikes from Ash and his clones add to the melee combo counter.
234,Ash,Strikes from the Shadow Clones add hit per enemy with Rising Storm Combo gain is affected by combo gain mods and arcanes but not Relentless Combination.
235,Ash,The combo counter will reset when equipped with Xoris or similar melee weapons that feature infinite duration combo counter.
236,Ash,Enemies that die to Direct Hits not Slashs Bleeds DoT will activate Arcane Trickery Arcane Ultimatum and Exodia Might.
237,Ash,Reactivating Blade Storm with no marks will toggle off targeting mode instead.
238,Ash,While in targeting mode Ash emits black smoke and his vision darkens.
239,Ash,Blade Storm has no casting animations so Ash can still perform all other functions normally such as maneuvering casting other abilities and firing or reloading weapons.
240,Ash,Ash cannot reenter targeting mode while his Shadow Clones are attacking marked enemies.
241,Ash,Ability Synergy Invisibility by means of Smoke Screen or other allied abilities will halve the energy cost of Blade Storm to energy per enemy.
242,Ash,While Blade Storm is attacking Teleport can be cast on a marked enemy at energy cost to include Ash in the assault.
243,Ash,Ash becomes invulnerable for the duration as he teleports and strikes all remaining marked enemies in a cinematic sequence.
244,Ash,While joining Blade Storm costs no energy Ash must have enough energy to cast Teleport to join.
245,Ash,Strikes by Ash deal the same damage as his clones but will attack enemies not targeted by his clones at the moment.
246,Ash,He consumes marks which generally accelerates the assault when the enemy is not dying from the first hit.
247,Ash,Ash can regenerate his shields during the animation.Augment Main article Rising Storm Rising Storm is an Ash Warframe Augment Mod that allows the clones generated by Blade Storm to contribute additional hits to the Melee Combo Counter as well as increases the duration the Melee Combo Counter lasts.
248,Ash,Rising StormTips Tricks Blade Storm can be activated while zooming in with a ranged weapon.
249,Ash,This can be used to more precisely pick targets.
250,Ash,You are invincible while using Blade Storm.
251,Ash,This can be used to give time to regenerate your shields.
252,Ash,Blade Storm can be used to pick up items that are very far away or in dangerous situations an item surrounded by enemies for example.
253,Ash,This generally requires a sentinels Vacuum skill for maximum effectiveness.
254,Ash,Simply target an enemy near something you want to pick up and activate the ability.
255,Ash,Since you return to your starting point you will return to your safe spot but will have picked up health orbs energy orbs resources and even mods.
256,Ash,Blade Storm can be used to start long melee combo chains to gain additional bonus melee damage.
257,Ash,This synergizes well with builds centered around Blood Rush Weeping Wounds and Gladiator Mods.
258,Ash,Blade Storm can be empowered by performing melee combo chains before casting as the abilitys damage benefits greatly from the bonus melee damage multiplier.
259,Ash,Since Blade Storm deals True damage the ability is well suited to dealing with Conculysts and Battalysts.
260,Ash,Ashs second ability Smoke Screen synergizes well with this ability reducing both the energy cost per mark and Ashs vulnerability when marking enemies.
261,Ash,Similarly Arcane Trickery also synergizes well since it can be triggered by Blade Storm and reduces the cost per mark.
262,Ash,Blade Storm allows Ash to easily trigger Arcane Ultimatum giving him a boost in survivability.
263,Ash,Blade Storm finishers also trigger Exodia Might with Zaws allowing substantial health regeneration without the use of Life Strike.
264,Ash,Considering Blade Storm has a chance to proc Bleed dealing . of the base damage times in seconds the ability actually does . damage in seconds making it one of the most powerful abilities in the game if modded and used accordingly.
265,Ash,Blade Storm benefits greatly from the effects of Body Count Drifting Contact and Gladiator Rush.
266,Ash,Instead of having a second delay before the combo counter disappears the delay will be seconds.
267,Ash,Using the Rising Storm augment will further increase the delay.
268,Ash,Since Ash only spawns Shadow Clones its highly suggested to equip attack speed mods as the time needed for the Shadow Clones animations can make gameplay sluggish especially if a large amount of enemies are marked.
269,Ash,Joining Blade Storm has multiple benefits for Ash Becoming invulnerable allows Ash to ignore status effects such as Toxin and regenerate his shields.
270,Ash,The rate in which attacks are dealt is increased as there will be attackers instead of .
271,Ash,The amount of hits added to the combo counter from the ability will be higher than if Ash were to not join.
272,Ash,Using Teleport on an unmarked enemy while Ashs Shadow Clones are attacking marked ones will result in the unmarked enemy being marked without consuming any energy.
273,Ash,Ash will then join Blade Storm until all marks are expended.
274,Ash,Enemies attacked by Blade Storm this way are only attacked once.Bugs On certain unspecific occasions Ash will become invulnerable after using Blade Storm.
275,Ash,It should also be noted that Blade Storm can cause lag commonly.
276,Ash,Very rarely after using Blade Storm Ash will float and become invincible.
277,Ash,He is unable to jump or fall down use melee weapons or primariessecondaries in some cases or use Blade Storm again.
278,Ash,Pressing E will teleport to a random enemy and perform a purely aesthetic Blade Storm attack which does no damage.
279,Ash,This appears to occur when Blade Storms initial target is killed before Blade Storm begins.
280,Ash,Very Rarely when Ash finishes using Blade Storm he will appear at the location where he used it with Health unable to move unable to use weapons and unable to be damaged by enemies.
281,Ash,Any on screen prompts that occur such as Defense and Interception wave prompts will not be presented to Ash in this state.
282,Ash,Ash cannot be revived as he isnt considered down despite the fact that he has health.
283,Ash,If wielding a melee weapon when cast Blade Storm will occasionally perform Finisher attacks on enemies.
284,Ash,This does not occur if the player is hosting.
285,Ash,Occasionally Ash will fall out of the map after using Blade Storm where he will either teleport back to the original casting position or die.
286,Ash,If Blade Storm is cast and Ashs holograms seek out a Mind Controlled target they will attack the target indefinitely until either the Mind Controlled target dies or its duration expires.
287,Ash,Attempting to use Blade Storm against another player when fighting in the Dojo will cause Ash to become invincible and hover in the air.
288,Ash,In this state Ash can only move and use firearms.
289,Ash,When Ash has no melee weapon equipped it is possible in some cases for Ash to attain an unmodded Skana after using Bladestorm.
290,Ash,This Skana is not listed in the end of mission screen nor in the ingame gear list and is lost upon dying or completion of the mission.
291,Ash,When used on a Crewship during Railjack missions and using teleport to join the fray Ash can grow x in size and will be too large to move around not only the Crewship but also the Railjack.
292,Ash,Player will have to return to dock to reset size.
293,Ash,Arcane Trickery etc..
294,Ash,Customization For Warframes With Invisibility Abilities Warframes now have Invisibility customization no longer will you have to be strictly transparent Warframes with Invisibility abilities Ash will now find customization options in the Arsenal under Appearance Attachments Auxiliary Attachments.
295,Ash,Instead of Invisibility being completely seethrough players can customize it from being more translucentsemitransparent to nontransparency with an Energy glow gleaming from your character.
296,Ash,SemiCloak Option GlowCloak Optionl An alternate opaque glow for when the Warframe is cloaked.
297,Ash,Does not alter enemy perception.
298,Ash,Invisibility colorization is affected by the primary Energy color of your Warframe.
299,Ash,Base vs Final Stats in Modding Health Energy Shield Armor Stat Overhaul If youve spent any time invested in the deeper nuances of Modding you may be familiar with Warframe Math math that upon first glance doesnt really make sense but once you learn the inner workings of the game it all comes together.
300,Ash,While we can appreciate the value that complex systems offer to a certain subsect of players there are other aspects of the game that should have clear and understandable outcomes.
301,Ash,Namely Shield Health Energy and Armor Modding.
302,Ash,Pop quiz what is If you answered you may just be an Excalibur player.
303,Ash,Vitality Heath Redirection Shields Flow Energy and Steel Fiber Armor come with large modifier values that dont seem to match their outcome ingame.
304,Ash,This is because these Mods apply their multiplier to the base stats of the Warframe i.e. the stats you have at Rank .
305,Ash,In the Excalibur example a Rank Excaliburs Health stat of earns an additional Health from max rank Vitality Heath since it applies to his base rank Health stat of resulting in total health.
306,Ash,Continuing our Excalibur example instead of Vitality always applying to Excaliburs base rank Health it would apply to his Health stat based on his rank namely the stat you can actually see in your Arsenal.
307,Ash,If your Excalibur were Rank his Health stat would be which means Vitalitys multiplier would be calculated off of .
308,Ash,With previous Health and Mod values additional adjustments are needed to make this revision work while maintaining game balance.
309,Ash,By only changing where the multiplier applies a Rank Excalibur would receive an extra Health from max rank Vitality resulting in a total health stat of .
310,Ash,To remedy this we approached this problem in two ways We reduced the overall multiplier for Health Shield Energy and Armor Mods.
311,Ash,Since these now affect Max Rank Warframe stats these Mods need to scale differently to maintain the status quo.
312,Ash,Doing some quick math this means that a Rank Excalibur Health with a reworked Vitality Mod Health applied to the final Health stat would receive extra Health for a total of .
313,Ash,That in contrast is a nerf which we also dont want to do.
314,Ash,With Health from a max Vitality Mod his resulting Health stat would be which matches what it was originally.
315,Ash,While this path to the same result may seem a little complicated the outcome matches our intention we want players to be able to look at their Health Shield and Armor Mods and be able to understand how they affect the stats they see in their Arsenal.
316,Ash,In addition to everything above we also increased the base stat values for Warframes so that these revised Mods offer similar value for lowerranked Frames.
317,Ash,To do so we reduced the amount of HealthShieldEnergy that Warframes earn per rank in half and transferred the sum of that value to their base stats.
318,Ash,For Armor this is the one stat that does not increase with your Warframes level with some exceptions.
